src,ams,atl,blr,ord,dfw,fra,hnl,jnb,lhr,lax,mad,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
mad,0.049832775919732196,0.3434343434343434,0.0,0.0802675585284281,0.013377926421404682,0.05852842809364521,0.0,0.0,0.06187290969899614,0.29431438127090304,0.01825418060200669,0.013377926421404682,0.0,0.0,0.04515050167224123,0.2140468227424749,0.0,0.0,0.13846153846153916,0.013377926421404682,0.006688963210702341,0.0,0.0,0.3745819397993311,0.013377926421404682,0.04749163879598475,0.22073578595317725,0.38428093645484795
mel,0.006688963210702341,0.04013377926421405,0.09364548494983277,0.046822742474916385,0.020066889632107024,0.07357859531772576,0.0,0.06688963210702341,0.026755852842809364,0.12040133779264214,0.006688963210702341,0.016662207357859532,0.18729096989966554,0.0,0.0,0.026755852842809364,0.0802675585284281,0.006688963210702341,0.033444816053511704,0.006688963210702341,0.0,0.0,0.0,0.24749163879598662,0.36454849498327757,0.1505016722408027,0.0936454849498332,0.30201342281879195
mex,0.006688963210702341,0.11006711409396035,0.013377926421404682,0.07558528428093729,0.09565217391304344,0.1939799331103679,0.03612040133779221,0.3779264214046823,0.006688963210702341,0.14715719063545168,0.006688963210702341,0.1505016722408027,0.014561872909698997,0.06354515050167543,0.0,0.10702341137123746,0.048160535117054495,0.0,0.046822742474916385,0.020066889632107024,0.11371237458193979,0.051839464882944615,0.3879598662207358,0.06354515050167257,0.4697986577181208,0.0,0.0,0.2348993288590604
mia,0.06688963210702341,0.0771812080536911,0.38461538461538464,0.08996655518394725,0.08762541806020117,0.020066889632107024,0.0,0.0,0.04013377926421405,0.06086956521739036,0.006688963210702341,0.020066889632107024,0.06120401337792969,0.012,0.0,0.006688963210702341,0.07959866220735742,0.0,0.09364548494983277,0.05150501672241061,0.3010033444816054,0.0578595317725732,0.006688963210702341,0.08193979933110401,0.07357859531772576,0.0,0.0,0.40202702702702703
mxp,0.043143812709029374,0.08135593220338982,0.013377926421404682,0.013377926421404682,0.013377926421404682,0.04521739130434783,0.0,0.026755852842809364,0.06354515050167267,0.15384615384615385,0.0454849498327759,0.006688963210702341,0.0,0.0,0.002468227424749164,0.033444816053511704,0.032775919732441414,0.0,0.05551839464882898,0.0,0.47157190635451507,0.006688963210702341,0.026755852842809364,0.0,0.14046822742474915,0.022742474916387548,0.013377926421404682,0.14194630872483308
bom,0.1806020066889632,0.18394648829431437,0.048160535117056445,0.013377926421404682,0.04013377926421405,0.15384615384615385,0.0,0.04013377926421405,0.0,10.610526315789473,0.10702341137123746,0.06020066889632107,0.1705685618729097,0.0,0.013377926421404682,0.011167224080267558,0.0,0.28762541806020064,0.026755852842809364,0.0,0.43478260869565216,0.0,0.0,0.0,0.11739130434782545,0.0,9.281138790035588,0.04013377926421405
ewr,0.06387959866220654,0.07718120805369161,0.3712374581939799,0.07792642140468269,0.07123745819398057,0.050836120401335665,0.013377926421404682,0.026755852842809364,0.06956521739130382,0.16053511705685675,0.023411371237458574,0.2140468227424749,0.04682274247491553,0.07290969899665599,0.0725752508361187,0.0,0.017297658862876254,0.0,0.06989966555184039,0.0,0.05351170568561873,0.05484949832775922,0.03678929765886288,0.09331103678929696,0.16722408026755853,0.03745819397993231,0.013377926421404682,0.0
itm,0.0,0.08080808080808081,0.7516778523489933,0.046822742474916385,0.006688963210702341,0.04013377926421405,0.11705685618729098,0.020066889632107024,0.0,0.12040133779264214,0.006688963210702341,0.0,0.0,0.0,0.0,0.3377926421404682,0.0,0.004929765886287626,0.013377926421404682,0.33444816053511706,0.08695652173913043,0.006688963210702341,0.08026755852842904,0.0,0.0765886287625411,0.0,0.10702341137123746,0.03355704697986577
cdg,0.05806020066889634,0.09933110367893205,0.15719063545150502,0.06321070234113514,0.22742474916387959,0.07538461538461537,0.04013377926421405,0.046822742474916385,0.05943143812709026,0.22742474916387959,0.06622073578595383,0.0033444816053511705,0.020066889632107024,0.0,0.04147157190635394,0.0,0.09030100334448266,0.013377926421404682,0.02037123745819398,0.0,0.3210702341137124,0.006688963210702341,0.046822742474916385,0.020066889632107024,0.3745819397993311,0.06521739130434812,0.020066889632107024,0.14161073825503476
scl,0.27424749163879597,0.49498327759197325,0.3377926421404682,0.4280936454849498,0.45484949832775917,0.006688963210702341,0.04013377926421405,0.026755852842809364,0.12040133779264214,0.05351170568561873,0.013377926421404682,0.4563758389261745,0.04013377926421405,0.11103678929766182,0.0,0.0,0.0,0.4214046822742475,0.0,0.006558528428093646,0.39832775919732477,0.0,0.4916387959866221,0.0,0.17391304347826086,0.026755852842809364,0.0,0.026845637583892617
