src,atl,ewr,ams,blr,bom,cdg,del,dfw,fra,hnl,icn,jnb,lax,lhr,mad,man,mex,mia,mxp,nrt,ord,sao,scl,sea,sgp,sjc,syd,tlv,yto
mia,12.967333333333334,32.81366666666666,107.05333333333333,267.01666666666665,259.0133333333333,106.08333333333333,280.78,28.051666666666666,114.11666666666666,112.02333333333333,204.01333333333332,281.01666666666665,62.093333333333334,103.00333333333333,129.48666666666668,107.91333333333333,72.84033333333333,0.031760000000000004,124.02666666666667,166.39666666666668,51.040333333333336,111.07666666666667,99.13033333333333,91.29,266.0933333333333,74.70566666666667,205.01666666666668,167.01333333333332,60.47933333333333
mxp,121.0,92.409,28.233666666666668,140.07,121.0,17.322,146.01666666666668,135.0,9.433433333333333,192.0,260.9433333333333,185.01,172.00333333333333,25.337333333333333,21.315,30.18,166.0,124.04333333333334,0.01435,234.0,112.92,221.26666666666668,220.00666666666666,146.90333333333334,152.09666666666666,146.00333333333333,277.08,46.994,125.55
nrt,147.0,147.57,236.03,113.17,135.0,239.02666666666667,142.0,136.0,243.01333333333332,150.0,31.40533333333333,243.08,98.13766666666666,227.83,251.02,245.0,160.0,166.41666666666666,234.0,0.03194333333333333,134.42,264.24666666666667,256.0,89.374,66.278,104.52,106.00333333333333,284.89666666666665,147.05
ord,33.519666666666666,18.516000000000002,107.02666666666667,243.07333333333332,236.31,98.0371237458194,258.0,21.839333333333332,105.00333333333333,89.789,170.33666666666667,260.0366666666667,54.20633333333333,95.90666666666667,124.0,92.60933333333332,43.655,51.039,112.88666666666667,134.37,0.06498333333333334,129.09666666666666,132.00333333333333,41.961,253.99666666666667,51.175666666666665,197.0,150.15,13.081
sao,123.07,108.01333333333334,188.85,310.06666666666666,262.07,183.24333333333334,290.02,147.11,193.19333333333333,216.0,304.3433333333333,345.0466666666667,178.00333333333333,186.11333333333334,205.00333333333333,189.01333333333332,156.66666666666666,111.00666666666666,221.49666666666667,264.14,129.02333333333334,0.05165666666666667,48.20633333333333,170.54333333333332,370.3433333333333,181.0,316.99666666666667,246.11666666666667,131.0
scl,114.06666666666666,122.0,198.0,315.02,301.0,214.03666666666666,320.07,130.0,198.00333333333333,191.0,321.679180887372,363.03333333333336,139.0,191.0,224.25666666666666,216.00333333333333,179.0,99.17033333333333,220.00666666666666,256.0,132.02333333333334,48.18566666666667,0.019096666666666668,160.01333333333332,323.66333333333336,148.0,320.03333333333336,250.58666666666667,143.0
sea,74.53033333333333,57.14533333333333,150.01333333333332,233.01,238.0,137.05333333333334,264.01666666666665,64.44733333333333,145.13,65.07,122.43,336.0833333333333,24.828,137.99333333333334,147.24333333333334,132.0,79.54066666666667,91.275,146.98333333333332,89.38900000000001,41.986333333333334,170.83,160.00666666666666,0.03302666666666667,177.12666666666667,18.637,169.01,186.02666666666667,52.958
sgp,240.03333333333333,233.05333333333334,168.11333333333334,39.30533333333334,59.31966666666666,153.55333333333334,68.739,189.31103678929765,153.05666666666667,222.59,91.51033333333334,175.09,165.17391304347825,171.03,162.17666666666668,169.13,215.12666666666667,266.15,152.08333333333334,66.24414715719064,254.02333333333334,370.41,323.87666666666667,177.06333333333333,0.06464666666666667,174.11,137.01,231.93666666666667,218.10666666666665
sjc,63.37466666666666,67.30766666666666,145.90333333333334,227.0,239.68666666666667,138.0334448160535,254.00333333333333,47.919333333333334,143.12,47.571666666666665,141.02,318.02,8.0219,135.24666666666667,144.45333333333335,134.0,48.352,74.72966666666667,146.00333333333333,104.61,51.216,181.0,148.0,18.634666666666668,174.09666666666666,0.028086666666666666,152.10333333333332,202.8,61.836
syd,191.00333333333333,201.0,276.05,273.49642857142857,284.681660899654,273.0903010033445,312.63380281690144,167.0,281.02666666666664,187.01333333333332,143.0,324.07666666666665,138.46333333333334,272.00333333333333,275.0466666666667,262.0,188.6,205.00666666666666,277.0733333333333,106.03,197.01333333333332,317.00333333333333,320.04333333333335,169.0,137.05,152.07333333333332,0.05608666666666667,348.79333333333335,207.96333333333334
tlv,168.00675675675674,139.0133779264214,62.63355704697987,247.01666666666668,228.9866220735786,51.952666666666666,252.0,175.0,55.483946488294315,250.02333333333334,310.05016722408027,230.00333333333333,199.03367003367003,64.43879598662207,61.48866666666667,68.773,200.32666666666665,167.02333333333334,46.991,284.87333333333333,150.14333333333335,246.05666666666667,250.561872909699,186.02666666666667,231.9,202.72666666666666,348.7633333333333,0.030233333333333334,155.09
yto,43.005,19.928666666666665,94.04033333333334,270.00333333333333,246.20333333333335,89.799,278.0,30.16,100.01666666666667,101.0,174.02,253.0,64.81566666666667,92.478,135.0,102.0,53.989,60.474333333333334,125.54666666666667,147.01,13.060666666666666,130.98666666666668,143.00333333333333,52.96366666666667,218.05666666666667,61.812,207.99333333333334,155.11333333333334,0.015673333333333334
