src,atl,ewr,ams,blr,bom,cdg,del,dfw,fra,hnl,icn,jnb,lax,lhr,mad,man,mex,mia,mxp,nrt,ord,sao,scl,sea,sgp,sjc,syd,tlv,yto
icn,0.12709030100334448,0.0,0.010033444816053512,0.033444816053511704,0.0,0.04013377926421405,0.09364548494983277,0.013377926421404682,0.17391304347826086,0.0,0.025735785953177256,0.0,0.006688963210702341,0.033444816053511704,0.026755852842809364,0.36789297658862874,0.14715719063545152,0.033444816053511704,0.06020066889632107,0.11772575250836133,0.32441471571906355,0.48494983277591974,11.801369863013699,0.38461538461538464,0.25150501672240594,0.12040133779264214,0.10033444816053512,0.24749163879598662,0.2408026755852843
jnb,0.431438127090301,0.0,0.28762541806020064,0.06688963210702341,0.0,0.15384615384615385,0.5986622073578596,0.35451505016722407,0.3076923076923077,0.6053511705685619,0.0,0.019414715719063544,0.14715719063545152,0.020066889632107024,0.09364548494983277,0.07357859531772576,0.013377926421404682,0.020066889632107024,0.1806020066889632,0.06020066889632107,0.13377926421404682,0.013377926421404682,0.3010033444816054,0.20066889632107024,0.12040133779264214,0.0,0.2608695652173913,0.11371237458193979,0.0033444816053511705
lax,0.05150501672240876,0.055518394648829864,0.08695652173913043,13.733333333333333,13.763066202090592,0.16722408026755853,13.67361111111111,0.04247491638796047,0.23411371237458195,0.04816053511705749,0.0,0.06688963210702341,0.013494983277591974,0.020066889632107024,0.006688963210702341,0.020134228187919462,0.05150501672240681,0.09933110367893014,0.006688963210702341,0.05016722408026908,0.058193979933108674,0.06020066889632107,0.0,0.06086956521739076,0.47491638795986624,0.07234113712374579,0.3411371237458194,0.13377926421404682,0.07257525083612232
lhr,0.06989966555183626,0.05484949832776121,0.20351170568561872,0.006688963210702341,0.431438127090301,0.15362416107382548,0.0,0.033444816053511704,0.04816053511705669,0.046822742474916385,0.006688963210702341,0.006688963210702341,0.013377926421404682,0.013645484949832776,0.056856187290969376,0.0584280936454849,0.08361204013377926,0.06354515050167224,0.061872909698996385,0.33444816053511706,0.09230769230769428,0.006688963210702341,0.006688963210702341,0.026755852842809364,0.06020066889632107,0.0802675585284281,0.046822742474916385,0.1709030100334432,0.07525083612039905
mad,0.27759197324414714,0.057525083612039146,0.04113712374581986,0.4682274247491639,0.0,0.1500000000000005,0.026755852842809364,0.0,0.03545150501672251,0.0,0.0,0.07357859531772576,0.006688963210702341,0.05752508361203957,0.012214046822742474,0.06220735785953228,0.006688963210702341,0.47491638795986624,0.02541806020066845,0.006688963210702341,0.12709030100334448,0.006688963210702341,0.2809364548494983,0.3076923076923077,0.22073578595317725,0.30434782608695654,0.1939799331103679,0.13578595317725878,0.04013377926421405
man,0.0,0.06755852842809588,0.04581939799331088,0.1605351170568562,0.0,0.12642140468227445,0.22408026755852842,0.006688963210702341,0.06555183946488359,0.0,0.38127090301003347,0.013377926421404682,0.0,0.04441471571906351,0.04247491638796042,0.0071304347826086955,0.16722408026755853,0.2408026755852843,0.020066889632106642,0.0,0.0839464882943147,0.4882943143812709,0.026755852842809364,0.0,0.1605351170568562,0.0,0.04013377926421405,0.18628762541806182,0.06688963210702341
mex,0.05284280936454924,0.042140468227425586,0.046822742474916385,0.17391304347826086,0.0,0.10702341137123746,0.14046822742474915,0.04180602006689,0.0,0.013377926421404682,0.26755852842809363,0.13377926421404682,0.05016722408026599,0.17391304347826086,0.0,0.35451505016722407,0.022986622073578593,0.06321070234113767,0.0,0.0,0.06120401337792596,0.2608695652173913,0.033444816053511704,0.056856187290967905,0.0802675585284281,0.06789297658862825,0.391304347826087,0.5150501672240803,0.08996655518394739
mia,0.11571906354515031,0.15217391304347636,0.10702341137123746,0.033444816053511704,0.026755852842809364,0.15384615384615385,0.3210702341137124,0.12775919732441524,0.2140468227424749,0.046822742474916385,0.026755852842809364,0.033444816053511704,0.1073578595317731,0.006688963210702341,0.4013377926421405,0.13043478260869565,0.09331103678929896,0.010076923076923077,0.05351170568561873,0.09364548494983277,0.11337792642140539,0.15384615384615385,0.11404682274247309,0.12107023411371158,0.16722408026755853,0.09832775919732624,0.033444816053511704,0.026755852842809364,0.09966555183946588
mxp,0.0,0.04515050167224118,0.024080267558528604,0.0802675585284281,0.0,0.1076923076923078,0.033444816053511704,0.0,0.03675585284280931,0.0,0.10702341137123746,0.020066889632107024,0.006688963210702341,0.04481605351170517,0.034113712374581405,0.03411371237458126,0.0,0.07357859531772576,0.0025317725752508364,0.0,0.22073578595317725,0.3511705685618729,0.013377926421404682,0.17391304347826086,0.17391304347826086,0.006688963210702341,0.06020066889632107,0.1722408026755865,0.046822742474916385
nrt,0.0,0.3377926421404682,0.06020066889632107,0.28762541806020064,0.0,0.046822742474916385,0.0,0.0,0.06354515050167224,0.0,0.047157190635451485,0.1605351170568562,0.04615384615384961,0.12040133779264214,0.04013377926421405,0.0,0.0,0.05016722408026756,0.0,0.009478260869565217,0.05016722408026756,0.31438127090301005,0.0,0.06187290969899922,0.5923076923076905,0.41471571906354515,0.006688963210702341,0.1939799331103679,0.0903010033444816
