src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv,nrt,yto,waw
lax,133.57,48.384,235.68027210884352,54.132333333333335,32.901666666666664,272.57679180887374,138.14715719063545,54.42,309.0,130.0,0.034293333333333335,165.01003344481606,157.0,150.03,53.28133333333333,62.08963210702341,162.0,262.1694915254237,58.14,105.03333333333333,130.00333333333333,137.09333333333333,166.00333333333333,25.846666666666668,139.01666666666668,7.903733333333333,165.23569023569024,157.0,138.23,191.18,99.137,64.87666666666667,166.00333333333333
mad,31.650333333333332,117.66333333333333,152.99333333333334,117.0,135.02,158.00666666666666,32.840333333333334,190.01333333333332,181.0,32.396,165.00333333333333,0.06075,38.162333333333336,287.00333333333333,159.0,129.02,21.311666666666667,130.32,91.32766666666667,225.87,22.958666666666666,217.19666666666666,205.11,153.54666666666665,270.01666666666665,144.16333333333333,173.48333333333332,55.198,275.1166666666667,55.24,260.9927536231884,106.02333333333333,49.919666666666664
man,14.431666666666667,98.32966666666667,213.0,92.57966666666667,116.0,221.63666666666666,22.069666666666667,180.0,165.0,7.7762,157.0,38.156666666666666,0.025366666666666666,274.0,137.00666666666666,114.76333333333334,30.286,194.00333333333333,82.41133333333333,236.00333333333333,14.355333333333334,206.01,181.27666666666667,163.01666666666668,254.01333333333332,134.0,186.82333333333332,36.28033333333333,262.0,64.33566666666667,287.45487364620936,102.27,33.75233333333333
mel,286.10333333333335,202.0,169.11666666666667,208.02,181.0,212.01,292.00333333333333,199.0,341.0,283.76,150.0,287.00666666666666,274.01,0.037996666666666665,223.00666666666666,216.08333333333334,289.00666666666666,182.0,200.95,118.97,285.01,300.00333333333333,321.04,178.90333333333334,156.8,163.0,204.74333333333334,309.01,11.225999999999999,345.16,118.00666666666666,216.04,294.0
mex,141.0,39.19233333333334,293.05,46.687333333333335,28.552,301.00666666666666,143.00333333333333,105.96666666666667,289.0233333333333,137.03333333333333,53.278999999999996,159.0,137.0,223.00666666666666,0.03816,69.169,149.0,272.01,64.039,151.12,135.00333333333333,177.0,173.01333333333332,68.55633333333333,176.04333333333332,48.3,232.14,165.96333333333334,197.0,184.85333333333332,158.97666666666666,61.29033333333333,156.01666666666668
mia,107.15333333333334,12.998666666666667,267.11333333333334,51.026,31.473666666666666,278.02666666666664,114.22073578595318,112.00666666666666,258.00333333333333,104.57333333333334,62.10033333333333,129.02,114.85333333333334,216.06688963210703,69.164,0.043526666666666665,120.15333333333334,253.0,32.914,182.98666666666668,107.0,99.08133333333333,111.00333333333333,92.36233333333334,193.06,71.75766666666667,248.09459459459458,130.00333333333333,205.0,156.4,161.0,60.57633333333333,130.0
mxp,23.751666666666665,112.0,144.03666666666666,116.0,127.03,148.0,9.8882,192.0,185.02,24.806,162.0,21.244,30.246666666666666,289.05,149.0,120.05333333333333,0.013303333333333334,123.0,92.94466666666666,217.96333333333334,17.126333333333335,225.0,221.20666666666668,150.00333333333333,265.04333333333335,146.0,168.49,31.821666666666665,277.0,46.941,258.86446886446885,110.0,26.525666666666666
bom,123.29,240.23,20.839666666666666,232.98,258.0,28.200666666666667,131.0,287.00333333333333,281.00666666666666,128.00333333333333,263.15017064846415,130.08666666666667,194.00333333333333,182.00333333333333,272.01666666666665,253.02333333333334,123.0,0.04138,243.00333333333333,136.16666666666666,166.0,301.5966666666667,267.0,238.36666666666667,120.01666666666667,236.0,85.91266666666667,181.00666666666666,285.2237288135593,231.12333333333333,133.16387959866222,257.01666666666665,188.0
ewr,80.693,22.057333333333332,266.03,18.551000000000002,37.96333333333333,275.0,81.37,106.0,227.0,74.71333333333334,58.125,91.29366666666667,82.341,200.93333333333334,63.98733333333333,32.844,92.94733333333333,243.0,0.03809,166.05,72.17333333333333,118.00333333333333,108.01,57.35466666666667,188.04,67.22133333333333,245.77,103.02,201.0,141.17,169.16,20.012333333333334,96.589
itm,244.25,168.01333333333332,132.6020066889632,159.01,142.00333333333333,159.44107744107745,236.18666666666667,154.00666666666666,245.04,239.09,105.06333333333333,225.36,236.13333333333333,118.87,151.0,182.60666666666665,218.02,136.24666666666667,166.09333333333333,0.0544,221.06666666666666,264.09,291.63666666666666,99.71833333333333,39.40033333333333,113.03333333333333,99.88,258.04,136.07333333333332,250.23,7.9974,185.06666666666666,255.01666666666668
