src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
lax,133.77666666666667,48.37,244.90974729241879,54.13333333333333,32.885666666666665,298.4568345323741,138.00333333333333,54.36566666666666,321.0,130.00666666666666,0.02805,176.0,153.0,150.0,53.234,62.024,161.00333333333333,264.8315789473684,58.153333333333336,104.46,131.02666666666667,137.47666666666666,174.0,26.573,132.92333333333335,9.335933333333333,169.08333333333334,157.02,138.08666666666667,192.21333333333334
mad,31.348666666666666,120.0,156.42,133.99666666666667,141.04,153.0,31.025666666666666,190.0,181.0,30.51033333333333,176.0,0.04516666666666667,38.16766666666667,287.0366666666667,168.00333333333333,129.00333333333333,21.322,128.04,91.37066666666666,225.21,22.986333333333334,240.02,205.0,153.67333333333335,257.00333333333333,144.23666666666668,152.02666666666667,48.393,296.0,61.61566666666667
man,14.511333333333333,104.00666666666666,172.0,92.58566666666667,116.01333333333334,193.0,22.044333333333334,180.0,165.0,7.803133333333333,153.0,38.15466666666667,0.021716666666666665,274.0,148.00333333333333,108.0,30.261666666666667,170.94666666666666,82.50766666666667,235.0,14.256,197.04666666666665,189.02,140.0,243.00666666666666,134.0,161.15,36.38966666666666,279.00333333333333,64.18127090301003
mel,287.01,202.00333333333333,173.0,208.01,181.03,208.01333333333332,292.02666666666664,199.0,345.00333333333333,283.62333333333333,150.04333333333332,287.01,274.0133333333333,0.028533333333333334,223.0,216.0,289.0,181.89666666666668,201.04,118.03,282.0133333333333,300.03333333333336,326.00333333333333,180.0,154.01666666666668,164.02,204.03,307.78,11.252,351.01003344481603
mex,161.0,51.480333333333334,292.00333333333333,43.60333333333333,28.533333333333335,297.62666666666667,151.0,106.0,313.0,135.0,53.236000000000004,168.0,148.0,223.00333333333333,0.031153333333333335,72.791,163.0,273.05,67.02433333333333,152.0,150.0,178.04666666666665,158.60666666666665,75.936,174.44666666666666,48.668,218.57333333333332,153.0,189.0,206.02
mia,108.0,12.904,266.0233333333333,50.94833333333333,29.743666666666666,280.12,114.0,112.00333333333333,284.00333333333333,103.08666666666667,62.03966666666667,129.0,108.0,216.01,72.77666666666667,0.03268666666666667,120.00666666666666,257.07666666666665,32.840666666666664,174.0,107.01666666666667,99.15466666666667,107.43333333333334,94.251,192.44333333333333,76.42066666666668,246.31,131.17666666666668,205.01,161.02006688963212
mxp,25.843333333333334,109.0,148.0,116.0,134.1,147.01,9.4286,192.0,185.0,24.148,161.0,21.297,30.234666666666666,289.0,163.0,120.02666666666667,0.015313333333333333,122.65,92.58233333333334,216.0,17.185333333333332,244.0,221.09,169.77,267.13666666666666,146.0,144.37666666666667,30.077333333333335,304.1066666666667,46.76833333333333
bom,117.01666666666667,245.0,21.153666666666666,234.02666666666667,265.0233333333333,23.62,131.0,287.0,279.0,128.0,259.9187279151943,128.00333333333333,170.96,181.96,273.0,257.0133333333333,122.47666666666667,0.03658,243.07666666666665,136.0,164.0,299.03333333333336,268.6933333333333,234.00666666666666,120.01333333333334,240.00333333333333,62.236666666666665,181.0,297.4842105263158,229.0
ewr,81.20133333333334,20.68166666666667,261.5733333333333,18.602333333333334,38.04566666666667,270.5933333333333,78.43066666666667,106.05333333333333,251.04,72.72166666666666,58.069,91.32933333333334,82.41666666666667,200.99,66.941,32.773666666666664,92.59466666666667,243.08666666666667,0.06204333333333333,174.03333333333333,72.25566666666667,119.09666666666666,108.09333333333333,57.20333333333333,183.04,67.38966666666667,226.51666666666668,85.925,201.05,134.09333333333333
itm,229.98666666666668,153.00333333333333,133.07407407407408,158.32,142.02333333333334,153.0,227.00666666666666,151.01,248.34,238.95333333333335,104.28333333333333,225.10666666666665,235.00333333333333,118.00666666666666,152.0,174.0,216.0,136.0,174.12333333333333,0.01452,221.0,262.0,274.0233333333333,99.61766666666666,39.745666666666665,112.01,72.87166666666667,248.0,136.0,256.00671140939596
