src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
man,0.06989966555183928,0.013377926421404682,0.0,0.05819397993310944,0.026755852842809364,0.0,0.053177257525084155,0.0,0.0,0.12404682274247486,0.0,0.049498327759197505,0.007806020066889632,0.0,0.006688963210702341,0.0,0.038795986622074057,0.10033444816053512,0.24682274247491556,0.0,0.06120401337792708,0.08695652173913043,0.04013377926421405,0.0,0.013377926421404682,0.0,0.2408026755852843,0.043812709030100906,0.006688963210702341,0.25637583892617544
mel,0.020066889632107024,0.006688963210702341,0.0,0.020066889632107024,0.06020066889632107,0.026755852842809364,0.05351170568561873,0.0,0.006688963210702341,0.411371237458194,0.08695652173913043,0.020066889632107024,0.013377926421404682,0.010989966555183946,0.0,0.0,0.0,0.16722408026755853,0.13377926421404682,0.05351170568561873,0.026755852842809364,0.06688963210702341,0.006688963210702341,0.0,0.033444816053511704,0.056856187290969896,0.05016722408026756,0.0903010033444816,0.11404682274247543,0.020134228187919462
mex,0.0,0.06020066889632174,0.006688963210702341,0.04648829431438155,0.08494983277592018,0.4180602006688963,0.0,0.0,0.0,0.0,0.05418060200668698,0.0,0.0,0.006688963210702341,0.013133779264214046,0.04916387959866202,0.0,0.10033444816053512,0.1605351170568546,0.0,0.0,0.09364548494983277,0.39464882943143814,0.039130434782606756,0.4013377926421405,0.05317725752508318,0.4916387959866221,0.0,0.0,0.04013377926421405
mia,0.0,0.05986622073578574,0.046822742474916385,0.05518394648829496,0.0622073578595318,0.2040133779264214,0.0,0.006688963210702341,0.006688963210702341,0.13043478260869565,0.04849498327759266,0.0,0.0,0.020066889632107024,0.04414715719063451,0.01245484949832776,0.013377926421404682,0.12040133779264214,0.1886287625418046,0.0,0.033444816053511704,0.038795986622076124,0.12709030100334448,0.07892976588628628,0.16387959866220736,0.07692307692307654,0.45484949832775917,0.10367892976588629,0.020066889632107024,0.040268456375838924
mxp,0.03545150501672184,0.0,0.0,0.0,0.1806020066889632,0.020066889632107024,0.03812709030100325,0.0,0.0,0.045819397993310224,0.0,0.049163879598662134,0.03913043478260918,0.0,0.0,0.05351170568561873,0.004809364548494984,0.28762541806020064,0.08327759197324332,0.0,0.04682274247491596,0.0,0.11705685618729098,0.31438127090301005,0.20735785953177258,0.0,0.4013377926421405,0.03110367892976628,0.17391304347826086,0.11204013377926224
bom,0.020066889632107024,0.0,0.04749163879598599,0.05351170568561873,0.04013377926421405,0.038795986622073224,0.0,0.0,0.0,0.0,10.904255319148936,0.006688963210702341,0.13377926421404682,0.0802675585284281,0.0,0.026755852842809364,0.36789297658862874,0.01794314381270903,0.13377926421404682,0.0,0.0,0.06688963210702341,0.31438127090301005,0.013377926421404682,0.026755852842809364,0.006688963210702341,0.1414715719063531,0.0,10.619718309859154,0.0
ewr,0.08528428093645604,0.14481605351170518,0.48494983277591974,0.14515050167224114,0.17290969899665617,0.44816053511705684,0.15551839464883072,0.10702341137123746,0.07357859531772576,0.0949832775919726,0.10167224080267613,0.11137123745819492,0.10869565217391343,0.10033444816053512,0.14548494983277657,0.07558528428093472,0.15953177257524936,0.17391304347826086,0.026933110367892976,0.06688963210702341,0.1270903010033442,0.16722408026755853,0.1806020066889632,0.15250836120401348,0.07357859531772576,0.23745819397993345,0.7023411371237458,0.16254180602006868,0.09364548494983277,0.1806020066889632
itm,0.026755852842809364,0.006688963210702341,0.17567567567567569,0.3010033444816054,0.04013377926421405,0.0,0.013377926421404682,0.020066889632107024,0.40468227424749165,0.09364548494983277,0.32441471571906355,0.16722408026755853,0.006688963210702341,0.013377926421404682,0.0,0.0,0.0,0.0,0.23411371237458195,0.0037491638795986624,0.0,0.0,0.046822742474916385,0.047157190635452866,0.08026755852842667,0.020066889632107024,0.1785953177257529,0.0,0.0,0.013468013468013467
cdg,0.10859531772575252,0.09565217391304517,0.06020066889632107,0.0969899665551847,0.08695652173913043,0.046822742474916385,0.07598662207357859,0.046822742474916385,0.006688963210702341,0.07685618729096991,0.05351170568561873,0.06822742474916438,0.1421404682274253,0.04013377926421405,0.0,0.020066889632107024,0.04581939799331062,0.0,0.13043478260869584,0.0,0.011762541806020066,0.006688963210702341,0.3612040133779264,0.1806020066889632,0.43812709030100333,0.023411371237458192,0.19063545150501673,0.04816053511705611,0.0,0.11241610738255121
scl,0.2508361204013378,0.0,0.0,0.006688963210702341,0.013377926421404682,0.0,0.0,0.24749163879598662,0.020066889632107024,0.0,0.17391304347826086,0.14715719063545152,0.10033444816053512,0.0,0.10033444816053512,0.0431438127090333,0.006688963210702341,0.020066889632107024,0.20735785953177258,0.0,0.0,0.011270903010033445,0.38394648829431455,0.0,0.013377926421404682,0.006688963210702341,0.20735785953177258,0.0,0.013377926421404682,0.07692307692307693
sao,0.0,0.006688963210702341,0.11705685618729098,0.006688963210702341,0.14046822742474915,0.033444816053511704,0.033444816053511704,0.020066889632107024,0.047619047619047616,0.033444816053511704,0.006688963210702341,0.013377926421404682,0.020066889632107024,0.013377926421404682,0.36454849498327757,0.0,0.18729096989966554,0.5585284280936454,0.04013377926421405,0.09364548494983277,0.20066889632107024,0.042140468227425155,0.015110367892976588,0.33444816053511706,0.033444816053511704,0.17725752508361203,0.3210702341137124,0.056856187290969896,0.0,0.006688963210702341
sea,0.0,0.06555183946488406,0.0,0.06053511705685681,0.11739130434782569,0.0,0.0,0.0765886287625405,0.013377926421404682,0.013377926421404682,0.04013377926421362,0.4414715719063545,0.006688963210702341,0.0,0.05050167224080047,0.046488294314380056,0.2140468227424749,0.0,0.16923076923076896,0.04816053511705621,0.13377926421404682,0.0,0.34448160535117056,0.019020066889632106,0.013377926421404682,0.05852842809364481,0.4013377926421405,0.013377926421404682,0.0033444816053511705,0.033444816053511704
icn,0.04013377926421405,0.006688963210702341,0.0,0.013377926421404682,0.12709030100334448,0.013377926421404682,0.0,0.026755852842809364,0.45484949832775917,0.0,0.11705685618729098,0.3010033444816054,0.013377926421404682,0.026755852842809364,0.27424749163879597,0.21070234113712374,0.15384615384615385,0.0,0.07357859531772576,0.057859531772573865,0.38127090301003347,0.020066889632107024,0.006688963210702341,0.013377926421404682,0.017204013377926423,0.0,0.8140468227424744,0.033444816053511704,0.046822742474916385,0.1605351170568562
sjc,0.010033444816053512,0.07725752508361276,0.4013377926421405,0.055518394648828795,0.08624161073825573,0.006688963210702341,0.07357859531772576,0.05551839464883022,0.013377926421404682,0.0,0.05484949832775922,0.3377926421404682,0.0,0.10033444816053512,0.06153846153846137,0.04849498327759088,0.006688963210702341,0.0,0.20334448160535235,0.006688963210702341,0.03678929765886288,0.013377926421404682,0.32441471571906355,0.05518394648829373,0.006688963210702341,0.007842809364548495,0.11036789297658862,0.2040133779264214,0.0,0.013377926421404682
sgp,0.11371237458193979,0.2608695652173913,0.22541806020066885,0.35785953177257523,0.09364548494983277,0.14180602006689222,0.40468227424749165,0.10033444816053512,0.04013377926421405,0.40468227424749165,0.10033444816053512,0.07357859531772576,0.22742474916387959,0.1605351170568562,0.42953020134228187,0.3411371237458194,0.4280936454849498,0.18595317725752436,0.6666666666666666,0.18695652173912983,0.22073578595317725,0.08695652173913043,0.16722408026755853,0.12709030100334448,0.6354515050167221,0.0802675585284281,0.037929765886287624,0.046822742474916385,0.27424749163879597,0.2408026755852843
sto,0.04749163879598706,0.006688963210702341,0.013377926421404682,0.020066889632107024,0.006711409395973154,0.04013377926421405,0.04280936454849466,0.0,0.006688963210702341,0.0451505016722401,0.006688963210702341,0.04682274247491705,0.10000000000000056,0.16722408026755853,0.0,0.22073578595317725,0.02274247491638819,0.0,0.1923076923076932,0.0,0.043478260869564814,0.0,0.05351170568561873,0.013377926421404682,0.006688963210702341,0.3411371237458194,0.09364548494983277,0.008123745819397994,0.12709030100334448,0.12775919732441543
syd,0.013377926421404682,0.033444816053511704,10.816546762589928,0.006688963210702341,0.043478260869565216,10.651245551601424,0.23745819397993312,0.11371237458193979,0.10033444816053512,0.013377926421404682,0.12040133779264214,0.0,0.0,0.06220735785953216,0.0,0.0,0.3110367892976589,10.719298245614034,0.07357859531772576,0.006688963210702341,0.006688963210702341,0.020066889632107024,0.026755852842809364,0.0033444816053511705,0.10702341137123746,0.016722408026755852,0.24749163879598662,0.23076923076923078,0.007953177257525083,0.087248322147651
