src,ams,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv,nrt,yto
mad,31.300333333333334,146.76666666666668,117.00333333333333,146.01,162.0,31.244,190.00666666666666,181.00333333333333,29.965,165.00666666666666,0.05352333333333333,38.044666666666664,287.00333333333333,168.00333333333333,132.8,21.261,130.24666666666667,225.06,22.919666666666664,220.02,206.0,153.97333333333333,256.9433333333333,144.47,152.01,51.687000000000005,283.00666666666666,55.21666666666667,242.01,129.00666666666666
man,14.516666666666666,185.04333333333332,92.607,116.01,193.0,22.011333333333333,180.0,177.00666666666666,7.236066666666667,157.99666666666667,38.037333333333336,0.020846666666666666,274.00333333333333,143.00666666666666,114.0,30.412333333333333,169.0,234.03333333333333,14.277333333333333,217.02333333333334,189.01,153.0,244.0,134.0,169.00666666666666,36.12566666666667,306.4433333333333,69.63433333333333,264.00333333333333,102.06
mel,287.04,187.0,208.0,181.03,206.04333333333332,292.01666666666665,199.0,346.0,281.9533333333333,150.0,287.01666666666665,274.0,0.032536666666666665,216.05666666666667,216.10333333333332,289.05,185.1,118.91,282.00333333333333,300.27666666666664,326.0,181.0,154.0,164.02,190.00333333333333,309.08,11.159333333333333,345.03,117.53333333333333,216.0
mex,154.0,314.01,49.897999999999996,35.67733333333334,321.0,145.01666666666668,97.922,313.0,134.04666666666665,47.714333333333336,168.01,143.00333333333333,216.14333333333335,0.03450333333333333,72.82,161.98,303.0,147.08,143.00666666666666,155.0,174.1304347826087,68.57333333333334,170.00666666666666,48.333666666666666,215.0,171.0,181.0,199.0,146.03,61.187333333333335
mia,107.78,283.01,49.32566666666666,29.825666666666667,278.12333333333333,113.27,112.00333333333333,285.21666666666664,104.12666666666667,60.35433333333333,132.79,114.0,216.12,72.829,0.033633333333333335,129.11333333333334,256.11,173.08333333333334,103.00333333333333,99.17066666666666,111.06333333333333,95.49966666666667,197.08,76.393,234.04666666666665,131.14333333333335,205.0,171.04,165.25333333333333,59.37466666666666
mxp,26.015666666666668,137.0,116.00333333333333,135.00333333333333,145.53333333333333,9.391166666666667,192.0,184.00333333333333,25.261333333333333,182.40333333333334,21.281666666666666,30.404333333333334,289.07,161.94,129.14,0.014356666666666667,125.01666666666667,218.15666666666667,17.253,258.0,221.15666666666667,150.0,253.0,146.0,144.0,30.406666666666666,290.03,46.664,242.00666666666666,119.00333333333333
bom,139.31,19.318666666666665,237.0,261.03,23.747,131.01333333333332,285.0133333333333,275.0,118.05333333333333,258.40143369175627,130.49333333333334,169.0,185.16666666666666,303.0,256.1333333333333,125.0,0.03252,137.31772575250835,164.01,300.00333333333333,265.0233333333333,237.0,120.0,243.00333333333333,61.12833333333334,181.0,333.5754385964912,226.00666666666666,135.66666666666666,246.67
itm,231.03,114.49666666666667,160.00333333333333,147.03,153.06333333333333,238.31,151.82333333333332,247.54333333333332,228.0,103.0,225.00333333333333,234.0,118.93666666666667,147.0,173.1,218.05666666666667,137.30666666666667,0.045856666666666664,233.74,264.1433333333333,298.9433333333333,97.712,37.28933333333333,112.16333333333333,74.78933333333333,249.0,172.00333333333333,250.02333333333334,7.740066666666666,165.08666666666667
cdg,9.668366666666667,285.00666666666666,98.20733333333334,112.0,190.00333333333333,9.066933333333333,175.00666666666666,165.0,6.726333333333334,131.01,22.91433333333333,14.238666666666667,282.00666666666666,143.00333333333333,103.00333333333333,17.262,164.01,233.80333333333334,0.04265666666666667,214.0,183.0,139.00333333333333,268.0,137.0,167.03333333333333,25.608333333333334,271.0,51.787,238.34,91.33666666666667
scl,198.00333333333333,315.01,129.12333333333333,126.04666666666667,324.0133333333333,198.02666666666667,190.00333333333333,364.0,187.04666666666665,137.09,220.01,217.0,300.36333333333334,155.00333333333333,99.16499999999999,258.0,300.0,264.22333333333336,214.01333333333332,0.02036666666666667,48.241,156.0,279.14,155.0,310.0133333333333,212.00666666666666,490.36301369863014,249.44666666666666,256.0233333333333,142.0
sao,186.01333333333332,319.43333333333334,129.01333333333332,137.84,290.0133333333333,193.01,216.0,355.03,182.03333333333333,176.03333333333333,206.00333333333333,189.08,328.93666666666667,174.04,111.10333333333334,221.56333333333333,265.00666666666666,298.91,183.0,48.24033333333333,0.04668,170.64666666666668,303.05333333333334,182.11666666666667,374.876254180602,209.94333333333333,307.0,244.07666666666665,264.07666666666665,130.86666666666667
sea,145.03,209.85333333333332,42.39933333333333,60.913,270.0,150.00333333333333,64.56033333333333,323.00333333333333,138.03333333333333,26.364,153.99,153.0,181.01,68.56233333333333,95.52533333333334,150.0,237.0,97.72833333333334,139.0,156.00333333333333,170.72,0.03255333333333334,117.01666666666667,18.137333333333334,167.00333333333333,162.01333333333332,169.01,187.01,89.19466666666666,52.01466666666666
icn,280.00333333333333,120.64,170.10666666666665,175.12,151.99333333333334,283.0133333333333,188.79333333333332,254.91,266.99666666666667,136.0,256.77,244.0,154.01333333333332,170.0,197.01,253.0,120.0,37.312999999999995,268.0,279.25666666666666,303.20666666666665,117.00333333333333,0.04636333333333333,137.00666666666666,94.784,300.00333333333333,146.0,304.60333333333335,31.366333333333333,180.0
sjc,149.34666666666666,226.07,51.17433333333334,46.95333333333333,257.01,148.04666666666665,47.56066666666667,318.00666666666666,137.01333333333332,9.365533333333333,144.55666666666667,134.0,164.00666666666666,48.333999999999996,76.57966666666667,146.0,243.08333333333334,112.08666666666667,137.0,155.0,182.30333333333334,18.141666666666666,137.00666666666666,0.026726666666666666,174.03,162.01333333333332,151.0,205.51666666666668,107.05666666666667,60.671
sgp,159.0,40.852,212.84333333333333,199.81333333333333,68.74733333333333,158.00666666666666,222.03333333333333,175.01,180.0,169.00333333333333,152.01,169.00333333333333,190.01,215.00666666666666,234.11,144.0,61.171,74.77333333333334,167.03,310.0133333333333,374.81333333333333,167.00333333333333,94.768,174.01,0.05009,185.00666666666666,137.00666666666666,232.00666666666666,66.13566666666667,206.00333333333333
sto,25.02766666666667,326.05,123.00333333333333,139.01666666666668,218.0,17.802333333333333,197.0,185.0,29.054666666666666,157.0,51.67366666666667,36.126666666666665,309.02666666666664,171.0,131.18,30.409333333333333,181.0,249.01333333333332,25.593666666666667,212.0,210.07,162.02333333333334,300.0133333333333,162.01666666666668,185.00666666666666,0.023863333333333334,297.06666666666666,74.755,266.05333333333334,119.06666666666666
syd,276.31,316.1494661921708,197.00666666666666,167.01666666666668,318.53264604810994,281.0366666666667,195.0,342.07,271.1566666666667,138.21333333333334,283.0,306.52,11.184333333333333,181.0,205.0,290.06333333333333,333.77351916376307,172.05333333333334,271.0,491.63389830508476,307.0,169.0,146.0,151.0,137.00666666666666,297.0933333333333,0.030716666666666666,347.0,106.02666666666667,205.00333333333333
tlv,66.386,242.03,150.28666666666666,170.0,252.11,56.30969899665552,246.02666666666667,229.99666666666667,62.045,197.01333333333332,55.183,69.63333333333333,345.03,199.0,171.21333333333334,46.705333333333336,226.03,250.03,51.75566666666667,249.42333333333335,244.01,187.01333333333332,304.7033333333333,205.5,232.00666666666666,74.75233333333334,347.0,0.03174,273.9766666666667,156.77666666666667
nrt,242.03,112.04347826086956,134.08333333333334,133.73,144.33,243.06,150.03666666666666,233.03666666666666,226.04666666666665,99.37733333333334,242.03333333333333,264.01666666666665,117.77666666666667,146.02666666666667,165.46666666666667,242.07666666666665,135.65333333333334,7.9366,238.33666666666667,256.0,264.0933333333333,89.181,31.354333333333333,107.04333333333334,66.14733333333334,266.3,106.03333333333333,273.9766666666667,0.033383333333333334,145.0
yto,92.98333333333333,268.04333333333335,11.898,31.323745819397992,266.0133333333333,103.01666666666667,101.0,253.26666666666668,93.29633333333334,64.79366666666667,129.0,102.02,216.67,61.13966666666667,59.439,119.01,246.79,165.16666666666666,91.34633333333333,142.0,130.88,51.99966666666667,180.00333333333333,60.641666666666666,206.0,119.10333333333334,205.00333333333333,156.7,145.04,0.015613333333333333
