src,ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,mxp,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto
icn,0.06688963210702341,0.07482993197278912,0.1610738255033557,0.026755852842809364,0.29431438127090304,0.20066889632107024,0.16722408026755853,0.08695652173913043,0.06688963210702341,0.31438127090301005,0.02560535117056856,0.11471571906354579,0.1705685618729097,0.020066889632107024,0.22742474916387959,0.0,0.013377926421404682,0.24749163879598662,0.12709030100334448,0.033444816053511704,0.026755852842809364,0.06354515050167284,0.14715719063545152,0.17391304347826086,0.05351170568561873,0.06020066889632107,10.565217391304348,0.07692307692307693,0.28762541806020064,0.010033444816053512,0.5150501672240803,0.08695652173913043,0.033444816053511704
itm,0.5016722408026756,0.026755852842809364,1.0939597315436242,0.4816053511705686,0.13377926421404682,0.6047297297297297,0.006688963210702341,0.18729096989966554,0.3277591973244147,0.013377926421404682,0.12675585284281,0.02065886287625418,0.0802675585284281,0.12709030100334448,0.17391304347826086,0.43812709030100333,0.26755852842809363,0.22408026755852842,0.0,0.45484949832775917,0.12709030100334448,0.06190635451505009,0.020066889632107024,1.1304347826086956,0.1806020066889632,0.053511705685618825,11.442140468227427,0.06688963210702341,0.07357859531772576,0.13377926421404682,0.4414715719063545,0.033444816053511704,0.13377926421404682
jnb,0.013377926421404682,0.0,0.1605351170568562,0.046822742474916385,0.033444816053511704,0.006688963210702341,0.06020066889632107,0.013377926421404682,0.3979933110367893,0.20735785953177258,0.34782608695652173,0.09364548494983277,0.016481605351170568,0.06020066889632107,0.0,0.0,0.0,0.0,0.10702341137123746,0.033444816053511704,0.07357859531772576,0.09364548494983277,0.006688963210702341,0.43478260869565216,0.0,0.013377926421404682,0.026755852842809364,0.033444816053511704,0.20735785953177258,0.0,0.0802675585284281,0.020066889632107024,0.016722408026755852
lax,0.3311036789297659,0.05351170568561949,12.16382252559727,12.299319727891156,0.006688963210702341,12.20890410958904,0.07826086956521798,0.05016722408026766,0.2214765100671141,0.03612040133779316,0.033444816053511704,0.06688963210702341,0.0,0.011759197324414716,0.0,0.020134228187919462,0.0,0.06020066889632107,0.04481605351170418,0.057718120805369755,0.0,0.07023411371237463,0.03545150501672287,0.006688963210702341,0.12374581939799331,0.05217391304347748,0.7837837837837838,0.043545150501672285,0.0,0.34782608695652173,0.5284280936454849,0.006688963210702341,0.06923076923077143
lhr,0.04311036789297658,0.06421404682274144,0.0802675585284281,0.0,0.055050167224080314,0.0,0.36454849498327757,0.06488294314381382,0.049832775919732286,0.0,0.14046822742474915,0.1939799331103679,0.10033444816053512,0.0,0.01614715719063545,0.049832775919733105,0.05117056856187289,0.2842809364548495,0.006688963210702341,0.35451505016722407,0.038461538461538096,0.013377926421404682,0.06588628762542093,0.020066889632107024,0.0,0.0,0.020066889632107024,0.0,0.06421404682274295,0.0,0.3816053511705696,0.05384615384615385,0.13110367892976338
mad,0.04448160535116986,0.38461538461538464,0.026755852842809364,0.3377926421404682,0.05618729096990035,0.013377926421404682,0.033444816053511704,0.06053511705685745,0.05652173913043516,0.026755852842809364,0.033444816053511704,0.40468227424749165,0.0,0.006688963210702341,0.05819397993311115,0.019735785953177258,0.048829431438127215,0.006688963210702341,0.0,0.04013377926421405,0.026755852842808986,8.145454545454545,0.0,0.22073578595317725,0.28762541806020064,0.38461538461538464,10.193979933110368,0.23411371237458195,0.0698996655518383,0.18394648829431437,0.48862876254180687,0.06321070234113797,0.046822742474916385
man,0.03913043478260856,0.05518394648829669,0.0,0.006688963210702341,0.04314381270902997,0.39464882943143814,0.0,0.08127090301003338,0.05183946488294345,0.0,0.026755852842809364,0.006688963210702341,0.0,0.0,0.05578595317725745,0.03745819397993307,0.010688963210702342,0.0,0.013377926421404682,0.33444816053511706,0.024080267558528698,8.31159420289855,0.05351170568561768,0.4180602006688963,0.020066889632107024,0.033444816053511704,10.836120401337793,0.0,0.05785953177257377,0.0,0.28227424749163943,0.039130434782607235,0.36789297658862874
mel,0.1806020066889632,0.0,0.20066889632107024,0.0,0.020066889632107024,0.020066889632107024,0.0,0.13712374581939799,0.006688963210702341,0.0,0.26755852842809363,0.06020066889632107,0.0,0.0,0.22742474916387959,0.013377926421404682,0.020066889632107024,0.015397993311036789,0.013377926421404682,0.13377926421404682,0.013377926421404682,0.07357859531772576,0.033444816053511704,0.07357859531772576,0.006688963210702341,0.16722408026755853,10.414715719063546,0.0,0.020066889632107024,0.04983277591973286,0.46153846153846156,0.0,0.07357859531772576
mex,0.0,0.05217391304347736,0.09364548494983277,0.020066889632107024,0.006688963210702341,0.013377926421404682,0.047157190635452,0.06220735785953019,0.006688963210702341,0.06688963210702341,0.08695652173913043,0.2408026755852843,0.046822742474916385,0.0478260869565199,0.05351170568561873,0.0,0.0,0.013377926421404682,0.016160535117056857,0.0695652173913059,0.0,0.033444816053511704,0.04347826086956488,0.026755852842809364,0.0,0.050836120401336136,10.66220735785953,0.05250836120401253,0.06020066889632107,0.0,0.6287625418060201,0.033444816053511704,0.07859531772575094
mia,0.19732441471571907,0.10535117056856166,0.16722408026755853,0.0,0.0,0.026755852842809364,0.07826086956521798,0.05719063545150552,0.348993288590604,0.013377926421404682,0.10033444816053512,0.39464882943143814,0.006688963210702341,0.08093645484949863,0.391304347826087,0.033444816053511704,0.2140468227424749,0.12751677852348994,0.07190635451505265,0.017578595317725754,0.23411371237458195,0.0,0.07357859531772641,0.006688963210702341,0.052173913043477384,0.04280936454849683,11.68813559322034,0.05652173913043547,0.006688963210702341,0.0,0.7090301003344481,0.0,0.13578595317725753
