src,ams,atl,blr,ord,dfw,del,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
mad,0.054849498327758935,0.3411371237458194,0.10033444816053512,0.06688963210702341,0.0,0.0,0.026755852842809364,0.0,0.06254180602006769,0.882943143812709,0.019257525083612042,0.049163879598662905,0.05351170568561873,0.0,0.09364548494983277,0.044816053511705874,0.06688963210702341,0.10936454849498314,0.1939799331103679,0.046488294314380445,0.046822742474916385,0.0,0.046822742474916385,0.11705685618729098,0.3745819397993311,0.0,0.04113712374581998,0.03678929765886288,0.09197324414715821
man,0.05618729096989949,0.037792642140467646,0.16722408026755853,0.04548494983277476,0.08361204013377926,0.013377926421404682,0.0,0.0,0.049732441471571937,1.0702341137123745,0.06856187290969978,0.007765886287625419,0.0,0.020066889632107024,0.35785953177257523,0.00802675585284271,0.1605351170568562,0.11538461538461763,0.36454849498327757,0.042809364548495474,0.020066889632107024,0.026755852842809364,0.0,0.04013377926421405,0.006688963210702341,0.4080267558528428,0.09665551839464868,0.0,0.1500000000000005
mel,0.013377926421404682,0.06688963210702341,0.0,0.0,0.0,0.006688963210702341,0.006688963210702341,0.010033444816053512,0.411371237458194,1.2173913043478262,0.0,0.0,0.013585284280936456,0.020066889632107024,0.0,0.020066889632107024,0.12040133779264214,0.12040133779264214,0.04013377926421405,0.0,0.0,0.06688963210702341,0.07357859531772576,0.3411371237458194,0.3411371237458194,0.013377926421404682,0.0,0.03979933110367882,0.4261744966442953
mex,0.23411371237458195,0.0474916387959873,0.12040133779264214,0.04280936454849554,0.03545150501672289,0.0,0.0,0.013377926421404682,0.0,0.1525083612040116,0.020066889632107024,0.0,0.04013377926421405,0.01351505016722408,0.05083612040133994,0.15384615384615385,0.006688963210702341,0.09732441471572119,0.06020066889632107,0.04013377926421405,0.0,0.0,0.07123745819397874,0.006688963210702341,0.05384615384615423,0.020066889632107024,0.0,0.0,0.13712374581939799
mia,0.006688963210702341,0.0421404682274246,0.0,0.045150501672241446,0.05785953177257575,0.0,0.0,0.020066889632107024,0.0,0.6043478260869569,0.05351170568561873,0.27424749163879597,0.0,0.04381270903010264,0.014394648829431438,0.0,0.006688963210702341,0.12775919732441485,0.0,0.0,0.05685618729097266,0.29431438127090304,0.0698996655518372,0.006688963210702341,0.07558528428093635,0.0,0.0,0.0,0.0
mxp,0.04280936454849559,0.0,0.0,0.013377926421404682,0.0,0.006688963210702341,0.0,0.013377926421404682,0.04013377926421357,0.28762541806020064,0.03846153846153864,0.030769230769230386,0.020066889632107024,0.28762541806020064,0.0,0.002060200668896321,0.013377926421404682,0.13244147157190378,0.12709030100334448,0.019397993311037018,0.013377926421404682,0.3377926421404682,0.04013377926421405,0.020066889632107024,0.020066889632107024,0.006688963210702341,0.08829431438127018,0.020066889632107024,0.1578595317725757
bom,0.006688963210702341,0.23076923076923078,0.122073578595317,0.0,0.013377926421404682,0.04280936454849546,0.04013377926421405,0.013377926421404682,0.0,9.772563176895307,0.0,0.033444816053511704,0.07692307692307693,0.0,0.0,0.020066889632107024,0.014207357859531772,0.046822742474916385,0.4214046822742475,0.0,0.0,0.29431438127090304,0.0802675585284281,0.0,0.0,0.07892976588628822,0.11705685618729098,9.656028368794326,0.020066889632107024
ewr,0.1294314381270892,0.16655518394648836,0.29431438127090304,0.12775919732441535,0.1585284280936463,0.0738255033557047,0.22073578595317725,0.033444816053511704,0.16722408026755958,0.22408026755852872,0.14247491638795895,0.19030100334448413,0.14046822742474915,0.11204013377926464,0.1374581939799317,0.20301003344481383,0.013377926421404682,0.014792642140468227,0.09364548494983277,0.08060200668896424,2.210702341137124,0.053691275167785234,0.09765886287625407,0.43478260869565216,0.12809364548494878,0.05351170568561873,0.12274247491638669,0.06020066889632107,0.21140939597315436
itm,0.04013377926421405,0.0802675585284281,0.4563758389261745,0.0,0.013377926421404682,0.006688963210702341,0.0,1.7357859531772575,0.4080267558528428,0.9899665551839465,0.15384615384615385,0.46153846153846156,0.033444816053511704,0.006688963210702341,0.0,0.026755852842809364,0.43478260869565216,0.0802675585284281,0.016220735785953178,0.31438127090301005,0.020066889632107024,0.6521739130434783,0.07123745819398011,0.06421404682274108,0.033444816053511704,0.2528428093645479,0.05351170568561873,0.1806020066889632,0.4414715719063545
cdg,0.04819397993311029,0.027424749163878704,0.06020066889632107,0.03478260869565295,0.3076923076923077,0.020066889632107024,0.026755852842809364,0.36454849498327757,0.04695652173913041,1.0334448160535117,0.050836120401337115,0.02408026755852857,0.0,0.006688963210702341,0.013377926421404682,0.027759197324415088,0.0,0.09264214046822895,0.34782608695652173,0.00890969899665552,0.033444816053511704,0.5819397993311036,0.033444816053511704,0.3010033444816054,0.006688963210702341,0.046822742474916385,0.01939799331103659,0.006688963210702341,0.1183946488294314
scl,0.0,0.0,0.006688963210702341,0.0,0.006688963210702341,0.013377926421404682,0.0,0.013377926421404682,0.0,1.137123745819398,0.033444816053511704,0.020066889632107024,0.0,0.006688963210702341,0.06321070234113957,0.006688963210702341,0.05351170568561873,2.1438127090301005,0.013377926421404682,0.0,0.0073678929765886286,0.37458193979932947,0.006688963210702341,0.2408026755852843,0.05351170568561873,0.05351170568561873,0.0,0.006688963210702341,0.13377926421404682
