src,ams,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv,nrt,yto,waw
mxp,0.058862876254181275,0.0,0.0,0.006688963210702341,0.013377926421404682,0.03816053511705701,0.013377926421404682,0.0,0.04013377926421455,0.0,0.033110367892977034,0.04180602006688875,0.13377926421404682,0.2842809364548495,0.0,0.0022040133779264214,0.28762541806020064,0.06053511705685636,0.006688963210702341,0.22742474916387959,0.0,0.0,0.0,0.013377926421404682,0.013377926421404873,0.006688963210702341,0.1739130434782618,0.0,0.0,0.05083612040133799
bom,0.0,0.07023411371237498,0.09364548494983277,0.06688963210702341,0.08595317725752533,0.0,0.026755852842809364,0.046822742474916385,0.0,13.95017793594306,0.26755852842809363,0.0,0.16722408026755853,0.0,0.0,0.20735785953177258,0.012678929765886289,0.3277591973244147,0.0,0.006688963210702341,0.0,0.0,0.4816053511705686,0.18829431438127134,0.04013377926421405,13.979020979020978,0.10033444816053512,0.0,0.0,0.16722408026755853
cdg,0.06030100334448151,0.026755852842809364,0.07959866220735685,0.07692307692307693,0.033444816053511704,0.05334448160535117,0.013377926421404682,0.0,0.04682274247491632,0.04013377926421405,0.04515050167224022,0.045484949832775984,0.06020066889632107,0.0,0.0,0.03110367892976584,0.38461538461538464,0.016180602006688964,0.0,0.0,0.006688963210702341,0.24749163879598662,0.0,0.2508361204013378,0.04983277591973284,0.0,0.3394648829431451,0.0,0.054180602006691066,0.07190635451504943
scl,0.006688963210702341,0.006688963210702341,0.006688963210702341,0.34782608695652173,0.026755852842809364,0.006688963210702341,0.4280936454849498,0.020066889632107024,0.0,0.020066889632107024,0.006688963210702341,0.0,0.3110367892976589,0.22742474916387959,0.10367892976588629,0.020066889632107024,0.0,0.0,0.006732441471571906,0.05317725752508427,0.013377926421404682,14.114478114478114,0.006688963210702341,0.05351170568561873,0.0,0.35451505016722407,0.07357859531772576,0.006688963210702341,0.020066889632107024,0.006688963210702341
sao,0.44816053511705684,0.020066889632107024,0.006688963210702341,0.033444816053511704,0.013377926421404682,0.0,0.0,0.3612040133779264,0.2809364548494983,0.033444816053511704,0.1806020066889632,0.0,0.09364548494983277,0.043478260869565216,0.0,0.35570469798657717,0.0,0.0,0.05150501672240857,0.018638795986622072,0.04013377926421405,0.0,0.06020066889632107,0.026755852842809364,0.006688963210702341,0.3511705685618729,0.14715719063545152,0.11371237458193979,0.0,0.0
sea,0.06354515050167224,0.1605351170568562,0.04080267558528486,0.043478260869565216,0.0,0.47157190635451507,0.03946488294314166,0.0,0.026755852842809364,0.039464882943143896,0.0,0.0,0.0802675585284281,0.04581939799330957,0.0484949832775944,0.013377926421404682,0.0,0.006688963210702341,0.0,0.020066889632107024,0.012879598662207357,0.06020066889632107,0.06387959866220683,0.0,0.046822742474916385,0.0,0.4080267558528428,0.038795986622073085,0.06588628762541847,0.020066889632107024
icn,0.1605351170568562,0.11371237458193979,0.013377926421404682,0.016722408026755852,0.026755852842809364,0.04013377926421405,0.05351170568561873,0.0,0.3177257525083612,0.013377926421404682,0.006688963210702341,0.0,0.3779264214046823,0.0,0.0,0.0,0.0,0.22408026755852842,14.063545150501673,0.006688963210702341,0.07357859531772576,0.016876254180602006,0.006688963210702341,0.32441471571906355,0.006688963210702341,0.0,0.5183946488294314,0.02709030100334445,0.05351170568561873,0.39464882943143814
sjc,0.05351170568561873,0.34782608695652173,0.08093645484949714,0.06488294314381354,0.0,0.013377926421404682,0.06020066889632183,0.006688963210702341,0.013377926421404682,0.06250836120401343,0.44816053511705684,0.0,0.05351170568561873,0.0665551839464892,0.07591973244147106,0.006688963210702341,0.4983277591973244,0.0,0.0,0.19732441471571907,0.0548494983277586,0.013377926421404682,0.009030100334448161,0.10702341137123746,0.10033444816053512,0.451505016722408,0.10702341137123746,0.0,0.08093645484949928,0.34448160535117056
sgp,0.12040133779264214,0.1505016722408035,0.03678929765886288,0.22742474916387959,0.07056856187291172,0.18394648829431437,0.29431438127090304,0.0,0.013377926421404682,0.10101010101010101,0.0,0.0,0.07692307692307693,0.0,0.006688963210702341,0.0,0.14581939799331164,0.22742474916387959,0.07357859531772576,0.10033444816053512,0.10033444816053512,0.3879598662207358,0.05351170568561873,0.03079933110367893,0.0802675585284281,0.06020066889632107,0.15719063545150502,0.09531772575250808,0.38127090301003347,0.013377926421404682
sto,0.07725752508361224,0.15384615384615385,0.07357859531772576,0.0,0.046822742474916385,0.03377926421404684,0.0,0.05351170568561873,0.04648829431438179,0.44816053511705684,0.04080267558528481,0.04314381270903071,0.16722408026755853,0.006688963210702341,0.4013377926421405,0.02073578595317753,0.046822742474916385,0.051170568561873186,0.0,0.016722408026755852,0.026755852842809364,0.020066889632107024,0.1605351170568562,0.16722408026755853,0.008317725752508361,0.010033444816053512,0.15250836120401393,0.023411371237458192,0.006688963210702341,0.02173913043478224
