src,ams,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mex,mia,mxp,bom,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv,nrt,yto,waw
mad,31.416333333333334,146.0,117.0,141.0,153.0,30.907,190.0,181.0,26.908666666666665,165.01,0.03704333333333333,38.29633333333333,287.0,166.41333333333333,132.98,21.235333333333333,130.98,22.853666666666665,220.0,205.55,148.0,252.0,144.39,151.01,48.352,295.0,61.662,251.00333333333333,137.0,46.50866666666667
man,14.536333333333333,185.19666666666666,102.01333333333334,116.0,193.00666666666666,22.010666666666665,180.0,175.00666666666666,7.744166666666667,152.10333333333332,38.30833333333333,0.01913,274.00333333333333,145.0,114.0,30.345666666666666,169.0,14.24,222.0,189.0,132.0,232.0,134.0,162.01666666666668,36.04,282.0,64.06,251.0,95.775,33.744
mel,288.26,184.98333333333332,208.05666666666667,181.05,208.01333333333332,292.0966666666667,199.0,346.08,283.6666666666667,150.05,287.0,274.00333333333333,0.03373,223.04,217.15,289.0833333333333,181.87666666666667,287.0466666666667,300.96666666666664,320.04,178.06333333333333,159.08333333333334,163.07333333333332,206.02333333333334,309.63,11.279,345.0133333333333,117.63333333333334,217.07333333333332,294.00333333333333
mex,154.0,315.02,51.60366666666666,35.66866666666667,322.00666666666666,146.0,97.58966666666666,315.22333333333336,133.0,47.67766666666667,166.44,145.0,223.04333333333332,0.03294333333333333,83.87166666666667,164.65,301.0,141.00666666666666,154.92333333333335,180.0,68.76166666666667,170.0,48.00033333333333,203.0,164.0,188.35333333333332,205.06333333333333,144.01,60.023666666666664,169.04
mia,108.01666666666667,268.0,49.245333333333335,31.237333333333332,275.00333333333333,114.34,112.0,281.0,103.06,62.03933333333333,133.0,114.0,217.10666666666665,83.866,0.03228,124.0,255.0,105.08666666666667,102.24,111.0,93.84366666666666,200.0,77.26633333333334,267.0,133.26333333333332,206.71666666666667,164.04333333333332,163.0,57.622,138.00333333333333
mxp,25.955,136.0,116.0,131.00333333333333,146.00666666666666,9.447133333333333,192.00666666666666,185.0,25.234666666666666,161.0,21.231666666666666,30.335333333333335,289.07,164.80666666666667,124.0,0.013366666666666667,124.19333333333333,17.250333333333334,228.00333333333333,221.19666666666666,147.0,254.0,146.0,156.00666666666666,31.708333333333332,292.00333333333333,47.09,243.0,119.0,26.427
bom,117.0,19.260666666666665,235.05,257.03333333333336,23.757666666666665,130.0,285.0133333333333,300.02666666666664,128.0,261.36170212765956,130.76333333333332,169.0,181.91333333333333,301.0,255.0,124.13,0.03266666666666666,163.64666666666668,301.0,265.00333333333333,239.0,120.0,236.39666666666668,56.09866666666667,182.02,287.7770034843206,230.05,131.0,264.0,188.92
cdg,9.533533333333333,270.1566666666667,94.94166666666666,114.32666666666667,191.01666666666668,8.205966666666667,175.00666666666666,165.0,7.2504333333333335,129.02,22.869,14.186,287.05333333333334,141.0,105.0,17.203666666666667,163.64666666666668,0.04371,239.0,183.0,133.00333333333333,277.1666666666667,136.0,154.82666666666665,26.269333333333332,276.0,51.62466666666667,245.0,91.338,26.85333333333333
scl,197.00333333333333,316.00333333333333,129.99666666666667,126.31333333333333,324.0133333333333,198.00333333333333,190.56666666666666,363.9866666666667,187.0,138.01,220.00333333333333,222.0,300.80333333333334,154.86,102.07,228.01333333333332,301.0,239.0,0.02184,48.397666666666666,156.00666666666666,376.81879194630875,155.00333333333333,314.02666666666664,212.0,320.48,245.03666666666666,254.00333333333333,142.01,222.00333333333333
sao,190.23666666666668,310.01,129.00333333333333,133.01666666666668,285.00666666666666,195.0,216.0,353.34,182.25,176.01666666666668,205.22,189.0,324.9633333333333,180.02333333333334,111.0,221.34782608695653,265.0,183.0,48.400999999999996,0.0429,170.02,312.0,176.96666666666667,360.01666666666665,209.00333333333333,322.67,244.07333333333332,271.93,130.0,209.0
