src,ams,blr,bom,cdg,del,dfw,fra,hnl,icn,jnb,lax,lhr,mad,man,mel,mex,mia,mxp,nrt,ord,sao,scl,sea,sgp,sjc,syd,tlv,yto
lax,132.24,246.01090909090908,260.7859649122807,133.06666666666666,271.0,32.893,138.02333333333334,54.410333333333334,137.0,325.01666666666665,0.033523333333333336,129.01666666666668,165.0,146.01,150.02666666666667,46.182,62.113,157.0,98.35933333333332,54.17766666666667,178.0,137.99,24.764,172.2214765100671,8.441166666666666,138.05666666666667,192.03,63.64566666666667
lhr,6.528866666666667,241.03333333333333,136.90666666666667,6.9659,142.01,110.00333333333333,11.851666666666667,175.01,261.01666666666665,173.0,129.00666666666666,0.03388,27.450666666666667,7.732866666666666,283.0,135.0,103.04666666666667,24.325,225.0,94.91,183.98666666666668,191.00333333333333,136.06333333333333,177.30333333333334,136.03,272.0566666666667,58.068333333333335,87.149
mad,31.343666666666667,150.16666666666666,130.02333333333334,20.74266666666667,153.00666666666666,135.01666666666668,30.941666666666666,190.00333333333333,259.0133333333333,181.04333333333332,165.00666666666666,27.44033333333333,0.038143333333333335,38.105000000000004,287.0233333333333,169.98,130.02666666666667,21.235666666666667,243.05333333333334,117.96333333333334,204.67333333333335,224.21666666666667,154.0,160.12666666666667,144.09,275.06,55.172000000000004,137.0
man,14.475333333333333,170.08,169.0,14.289666666666667,193.01333333333332,126.0,22.068333333333335,180.00666666666666,244.00666666666666,176.05,146.00333333333333,7.732333333333333,38.108666666666664,0.02532,274.07666666666665,151.0,108.00666666666666,30.262,253.0,92.603,189.03333333333333,222.75,140.0,161.54333333333332,134.0,262.01,70.45166666666667,102.11666666666666
mel,288.22333333333336,187.01,182.02333333333334,285.02666666666664,208.00333333333333,181.0,293.15,199.00333333333333,154.0,338.0133333333333,150.02333333333334,283.0,287.00666666666666,274.00666666666666,0.032663333333333336,191.00333333333333,216.00333333333333,289.00333333333333,117.74666666666667,208.00333333333333,318.6433333333333,300.01,179.50666666666666,190.98333333333332,163.00333333333333,11.192333333333332,340.73,216.00333333333333
mex,159.73666666666668,289.00333333333333,275.0,148.06,297.09,35.66566666666667,152.01,106.0,170.0,314.06333333333333,46.15533333333334,135.0,169.96666666666667,151.00333333333333,191.01,0.035796666666666664,83.98833333333333,163.0,159.00666666666666,46.71966666666667,157.05666666666667,180.0,68.56433333333334,216.00333333333333,48.641,190.00666666666666,206.00666666666666,53.995666666666665
mia,109.11666666666666,287.0366666666667,259.1433333333333,104.09333333333333,278.03333333333336,29.790333333333333,112.48666666666666,112.01333333333334,195.05,283.82,62.121,103.07333333333334,130.03333333333333,108.01,216.02333333333334,83.955,0.038303333333333335,127.10666666666667,160.04,51.288,111.1,99.13733333333333,92.09333333333333,257.98333333333335,75.38966666666667,205.02333333333334,160.04,60.52166666666667
mxp,25.995666666666665,136.53,123.01333333333334,17.244816053511705,146.0,131.0,9.6009,192.0,247.2,186.0,157.01,24.268666666666668,21.166,30.229333333333333,289.0,163.0,127.08333333333333,0.0132,230.0,116.0,221.08666666666667,233.0,150.0,143.0,146.0,277.01,53.40833333333333,125.01
nrt,231.51666666666668,113.0,128.0,238.02666666666667,141.00666666666666,136.0,243.01666666666668,150.01,31.337333333333333,233.0,98.95700000000001,227.0,243.02666666666667,253.0,117.51,159.00666666666666,160.04333333333332,230.0,0.03983333333333333,134.0,270.03,251.0,95.334,64.95266666666667,104.00666666666666,106.01,284.0733333333333,143.29333333333332
ord,104.0,258.0,237.01333333333332,95.02033333333334,256.13666666666666,21.835,104.53666666666666,89.764,159.15666666666667,260.0,54.182,94.69433333333333,117.97333333333333,92.61866666666667,208.0,46.73733333333333,51.27766666666667,116.00333333333333,134.0,0.04455666666666667,129.02,129.06,41.89366666666667,233.01333333333332,51.11266666666667,197.0,149.01333333333332,10.790000000000001
sao,186.00666666666666,317.03,265.14,183.03,286.02,138.0,196.82,216.05666666666667,313.01666666666665,354.04333333333335,178.0,183.93,204.75666666666666,189.00333333333333,318.0,157.02333333333334,111.04,221.07,270.00333333333333,129.00666666666666,0.04446,48.437999999999995,171.03333333333333,339.13,182.07666666666665,319.00333333333333,244.02,130.82666666666665
scl,198.0,316.01,299.7033333333333,214.01333333333332,322.0733333333333,127.00666666666666,198.0,225.02333333333334,280.87333333333333,365.0233333333333,137.8,191.01,224.13,222.37,300.0,180.0,99.13466666666666,233.00333333333333,251.00666666666666,129.07,48.414,0.01927,156.0,303.67333333333335,156.0,323.0233333333333,245.51666666666668,142.0
sea,150.0,210.0,246.0,139.04666666666665,259.0733333333333,64.79666666666667,147.02333333333334,64.87833333333333,123.05333333333333,312.0,25.37,136.08666666666667,154.0,140.0,179.32,68.553,92.12666666666667,150.00333333333333,95.35933333333334,41.924,171.06666666666666,156.0,0.029446666666666666,162.01333333333332,18.112000000000002,169.0,184.01,51.773666666666664
sgp,167.00333333333333,40.82266666666666,55.195,154.00666666666666,77.59933333333333,195.46153846153845,153.0,225.06333333333333,109.09666666666666,174.99666666666667,172.2140468227425,182.01666666666668,160.08666666666667,161.56666666666666,190.81,216.00666666666666,257.92,143.00666666666666,64.94933333333334,233.01333333333332,339.11333333333334,303.79333333333335,162.00666666666666,0.04838,174.0,178.98,220.8,217.72333333333333
sjc,147.86,211.07666666666665,241.0,138.05,255.00333333333333,45.33733333333333,144.13,47.537,137.0,318.0,9.2702,136.05666666666667,144.04,134.02,162.24333333333334,48.62766666666667,75.35866666666666,146.0,104.00666666666666,51.118,182.12333333333333,156.0,18.095000000000002,174.01333333333332,0.032273333333333334,152.0,213.04,60.614333333333335
syd,275.11,274.52127659574467,298.9540636042403,271.04333333333335,321.2135231316726,167.00666666666666,281.8333333333333,187.02333333333334,143.00333333333333,324.0,138.08,272.06,275.06666666666666,262.03,11.176,190.00333333333333,205.02333333333334,277.0133333333333,106.00666666666666,197.0,319.00333333333333,323.03,169.0,178.96666666666667,152.0,0.0306,350.3666666666667,206.15
tlv,59.505,243.01666666666668,230.00666666666666,57.699666666666666,248.0,168.00333333333333,51.300333333333334,250.03333333333333,306.6666666666667,230.0,192.03,57.99966666666667,55.156,70.43733333333334,340.49333333333334,206.00333333333333,160.01,53.382666666666665,284.05333333333334,149.01333333333332,244.02333333333334,245.54,183.99333333333334,220.82666666666665,213.06,350.25,0.036213333333333333,155.03666666666666
yto,97.09566666666666,278.00666666666666,245.0,90.50966666666667,268.00333333333333,31.27766666666667,96.14699999999999,101.00333333333333,173.07666666666665,255.0,63.620666666666665,86.60733333333333,137.0,102.06,216.0,53.967333333333336,60.49733333333333,125.02333333333333,143.41333333333333,10.774333333333333,130.85666666666665,142.00333333333333,51.779666666666664,217.69,60.62133333333333,206.07666666666665,155.02666666666667,0.01595
