src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
ewr,78.421,21.924666666666667,264.0,18.501333333333335,37.888999999999996,271.0,79.844,106.0,251.01666666666668,72.501,58.10633333333333,91.43233333333333,89.06433333333334,200.48666666666668,33.39733333333333,92.60533333333333,243.02333333333334,0.04344,173.04333333333332,72.072,120.18,108.17666666666666,57.12166666666667,177.37666666666667,67.226,231.54333333333332,85.72033333333333,201.01333333333332,134.00666666666666
itm,227.09333333333333,153.09333333333333,113.24666666666667,159.00666666666666,134.07333333333332,155.25333333333333,227.09,154.11666666666667,249.03333333333333,239.28666666666666,114.03333333333333,225.00666666666666,234.02,119.13666666666667,173.07333333333332,217.02333333333334,134.57666666666665,173.00666666666666,0.043313333333333336,223.00333333333333,268.1533333333333,279.00666666666666,100.00366666666667,36.94533333333333,112.92666666666666,74.18087248322148,247.43,137.01666666666668,267.11
cdg,9.453833333333334,90.81433333333334,269.19666666666666,97.88733333333333,116.98333333333333,190.0,9.007766666666667,175.01666666666668,165.00666666666666,7.837433333333333,128.01333333333332,20.718666666666667,14.616,282.0,107.66333333333333,17.112000000000002,163.03333333333333,72.09033333333333,223.0,0.034526666666666664,204.03333333333333,182.99333333333334,133.03333333333333,272.61,141.00333333333333,163.04,26.800333333333334,273.0,51.059333333333335
scl,198.0,114.81,318.53,133.0,130.01,323.01,198.87333333333333,225.01,364.62666666666667,188.00666666666666,137.54333333333332,208.00333333333333,206.0,300.00333333333333,102.11666666666666,222.00333333333333,301.3,120.15333333333334,268.05,204.0,0.020693333333333334,48.35366666666666,159.01,313.02666666666664,146.01,308.0233333333333,219.0,320.0,245.00666666666666
sao,190.04333333333332,129.14,310.08666666666664,129.02333333333334,142.65,288.05333333333334,194.04,216.01333333333332,334.04,186.0,164.13666666666666,205.01333333333332,189.0,321.77666666666664,105.00666666666666,221.48333333333332,264.02,108.05666666666667,279.0233333333333,182.90333333333334,48.34466666666666,0.05997333333333334,172.05333333333334,298.2366666666667,182.17333333333335,354.1433333333333,209.58333333333334,316.42333333333335,247.01333333333332
sea,135.0,75.75633333333333,226.0,42.15133333333333,64.564,258.0,144.00333333333333,66.063,336.02666666666664,133.0,26.126333333333335,153.83,140.00666666666666,181.0,94.12866666666666,150.00333333333333,236.0,57.12533333333334,99.91000000000001,133.0,159.01,172.05666666666667,0.031013333333333334,128.01666666666668,18.323666666666668,167.05,164.97333333333333,169.00666666666666,210.02
icn,270.0133333333333,185.00666666666666,136.08,165.01,166.58,148.03666666666666,280.03333333333336,183.0,256.98333333333335,262.2866666666667,133.00666666666666,259.00333333333333,238.00333333333333,159.01,198.01333333333332,264.0,120.04333333333334,177.47666666666666,36.92366666666666,272.4533333333333,313.0133333333333,298.05333333333334,128.01,0.04894333333333333,138.02666666666667,108.00666666666666,304.00666666666666,143.02666666666667,309.02
sjc,148.69,63.326,213.03,51.136,45.517,263.6666666666667,147.01333333333332,47.43366666666667,318.0133333333333,137.37333333333333,9.292866666666667,144.12666666666667,134.00666666666666,164.03333333333333,72.955,146.0,238.01,67.27166666666666,112.88333333333334,141.00666666666666,146.00666666666666,182.11333333333334,18.330333333333332,138.00333333333333,0.037393333333333334,174.04,164.29666666666665,153.03,196.0
sgp,159.01,251.03,40.562666666666665,213.01,195.2541806020067,66.458,153.04666666666665,225.02666666666667,175.05666666666667,169.23666666666668,164.11666666666667,151.02006688963212,162.02333333333334,196.43,232.18666666666667,144.20666666666668,51.836666666666666,231.39666666666668,74.32000000000001,163.00333333333333,308.0233333333333,354.11,167.06,108.05666666666667,174.03333333333333,0.08510666666666666,173.45333333333335,179.03333333333333,218.05666666666667
sto,25.047666666666668,120.00333333333333,333.6566666666667,123.02,138.83666666666667,205.05333333333334,17.802,197.0,185.0,28.758666666666667,154.07666666666665,51.85366666666666,36.24033333333333,311.00666666666666,131.04666666666665,31.713,195.01333333333332,85.749,247.25,26.776666666666667,219.02,209.69,164.87,304.0133333333333,164.12666666666667,173.67333333333335,0.02276,296.04,76.14533333333333
syd,276.03010033444815,191.0,277.97482014388487,197.0,167.0,335.3167259786477,280.0833333333333,187.00333333333333,323.0,272.0,138.04666666666665,275.01666666666665,262.0,11.160666666666666,205.00666666666666,277.0,290.463768115942,201.0,137.07666666666665,273.0,320.00333333333333,316.6566666666667,169.0,143.01333333333332,153.1,179.03333333333333,296.0233333333333,0.030573333333333334,343.0133333333333
tlv,57.938,157.00666666666666,230.19666666666666,146.01,182.65333333333334,249.65666666666667,51.18233333333333,244.08,230.00666666666666,57.92966666666666,198.57666666666665,54.90233333333333,63.842999999999996,348.06,166.94666666666666,47.04,228.11333333333334,134.0,267.1766666666667,51.092333333333336,245.00333333333333,247.0,210.0,309.03333333333336,196.01333333333332,218.02333333333334,76.09333333333333,343.0,0.03674
