src,ams,atl,blr,ord,dfw,del,fra,hnl,jnb,lhr,lax,mad,man,mel,mia,mxp,bom,ewr,itm,cdg,scl,sao,sea,icn,sjc,sgp,sto,syd,tlv
lax,0.14715719063545152,0.1695652173913048,9.154385964912281,0.06321070234113733,0.07224080267558589,9.143356643356643,0.2408026755852843,0.22474916387959934,0.14715719063545152,0.07357859531772576,0.009903010033444817,0.2140468227424749,0.23411371237458195,0.14046822742474915,0.20033444816053553,0.04013377926421405,9.925,0.11471571906354563,0.13377926421404682,0.06020066889632107,0.30434782608695654,0.1605351170568562,0.07357859531772536,0.0802675585284281,0.11187290969899663,0.13377926421404682,0.09364548494983277,0.06688963210702341,0.5585284280936454
mad,0.05117056856187258,0.22408026755852842,0.05351170568561873,0.023411371237458192,0.026755852842809364,0.10702341137123746,0.046488294314381576,0.020066889632107024,0.0,0.058193979933109576,0.09698996655518395,0.01765551839464883,0.04180602006688916,0.013377926421404682,0.1505016722408027,0.039130434782608435,0.006688963210702341,0.05317725752508097,0.0,0.0739130434782611,0.006688963210702341,0.2408026755852843,0.1605351170568562,0.006688963210702341,0.2809364548494983,0.020066889632107024,0.04180602006689023,0.2972972972972973,0.09297658862876278
man,0.04816053511705669,0.06555183946488263,0.013377926421404682,0.05518394648829236,0.22073578595317725,0.3712374581939799,0.05050167224080318,0.0,0.0,0.05488294314381272,0.12709030100334448,0.04147157190635448,0.006712374581939799,0.0,0.026755852842809364,0.010702341137123898,0.30434782608695654,0.04515050167223833,0.013377926421404682,0.04749163879598647,0.006688963210702341,0.06688963210702341,0.0,0.033444816053511704,0.026755852842809364,0.0,0.03979933110367676,0.0,0.09866220735785781
mel,0.2408026755852843,0.033444816053511704,0.006688963210702341,0.006688963210702341,0.013377926421404682,0.10702341137123746,0.026755852842809364,0.006688963210702341,0.0,0.0,0.2140468227424749,0.026755852842809364,0.006688963210702341,0.01525752508361204,0.006688963210702341,0.0,0.046822742474916385,0.27424749163879597,0.0,0.0,0.13377926421404682,0.05351170568561873,0.0,0.04013377926421405,0.033444816053511704,0.3210702341137124,0.07357859531772576,0.041137123745819515,0.06688963210702341
mia,0.11371237458193979,0.06989966555183932,0.006688963210702341,0.08127090301003412,0.06622073578595332,0.013377926421404682,0.10702341137123746,0.013377926421404682,0.033444816053511704,0.026755852842809364,0.30100334448160593,0.4180602006688963,0.09395973154362416,0.0,0.022548494983277594,0.033444816053511704,0.033444816053511704,0.06254180602006763,0.020066889632107024,0.006688963210702341,0.17391304347826086,0.013377926421404682,0.04682274247491772,0.020066889632107024,0.09197324414715453,0.5384615384615384,0.046822742474916385,0.0,0.14046822742474915
mxp,0.04983277591973286,0.3010033444816054,0.07357859531772576,0.0,0.0,0.006688963210702341,0.06541806020066877,0.0,0.0,0.034782608695651585,0.026755852842809364,0.042809364548494794,0.01672240802675609,0.0,0.020066889632107024,0.003605351170568562,0.0,0.04648829431438029,0.006688963210702341,0.03411371237458202,0.023411371237458192,0.36454849498327757,0.0,0.033444816053511704,0.013377926421404682,0.38461538461538464,0.0260869565217395,0.2620689655172414,0.14581939799331226
bom,0.14046822742474915,0.35451505016722407,0.040133779264214235,0.2709030100334448,0.013377926421404682,0.07424749163879528,0.006688963210702341,0.006688963210702341,0.0,0.0,9.501779359430605,0.013377926421404682,0.391304347826087,0.006688963210702341,0.006688963210702341,0.0,0.01288628762541806,0.033444816053511704,0.5551839464882943,0.043478260869565216,0.33444816053511706,0.006688963210702341,0.0,0.12709030100334448,0.033444816053511704,0.12976588628762362,0.006688963210702341,10.01063829787234,0.2809364548494983
ewr,0.04949832775919679,0.06053511705685633,0.0,0.06254180602006754,0.039464882943144375,0.0,0.053846153846156534,0.0,0.033444816053511704,0.059531772575251156,0.16086956521739168,0.04715719063544987,0.08695652173912843,0.2976588628762542,0.06588628762541866,0.022742474916388665,0.046822742474916385,0.0181438127090301,0.08695652173913043,0.048494983277590976,0.7759197324414716,0.16722408026755853,0.046822742474916794,0.3979933110367893,0.06421404682274187,0.4013377926421405,0.029765886287624298,0.026755852842809364,0.013377926421404682
itm,0.18729096989966554,0.18729096989966554,0.29431438127090304,0.013377926421404682,0.14715719063545152,0.45484949832775917,0.1806020066889632,0.20066889632107024,0.06688963210702341,0.4816053511705686,0.06688963210702341,0.013377926421404682,0.04013377926421405,0.27424749163879597,0.14715719063545152,0.046822742474916385,0.5886287625418061,0.013377926421404682,0.020558528428093647,0.006688963210702341,0.28762541806020064,0.013377926421404682,0.22140468227424698,0.13946488294314466,0.10033444816053512,0.4666666666666661,0.782608695652174,0.033444816053511704,0.2140468227424749
cdg,0.04782608695652172,0.07123745819398059,0.25418060200668896,0.04916387959866369,0.08695652173913043,0.0,0.043712374581939654,0.026755852842809364,0.013377926421404682,0.053712374581939816,0.026755852842809364,0.05719063545150511,0.047826086956521595,0.0,0.023411371237458192,0.03277591973244108,0.05351170568561873,0.04147157190635425,0.0,0.013274247491638795,0.06688963210702341,0.08695652173913043,0.06688963210702341,0.3511705685618729,0.006688963210702341,0.0802675585284281,0.06956521739130431,0.0,0.08595317725752612
scl,0.0,0.2608695652173913,0.21070234113712374,0.0,0.020066889632107024,0.020066889632107024,0.1806020066889632,0.020066889632107024,0.41471571906354515,0.013377926421404682,0.4214046822742475,0.006688963210702341,0.0,0.006688963210702341,0.16722408026755853,0.006688963210702341,0.27759197324414714,0.8361204013377926,0.09364548494983277,0.0,0.007501672240802676,0.09866220735785917,0.020066889632107024,0.05351170568561873,0.020066889632107024,0.046822742474916385,0.0,0.0,0.013377926421404682
sao,0.08695652173913043,0.2809364548494983,0.17391304347826086,0.046822742474916385,0.046822742474916385,0.10702341137123746,0.0802675585284281,0.026755852842809364,0.0802675585284281,0.0,0.20735785953177258,0.026755852842809364,0.0,0.07357859531772576,0.013377926421404682,0.36789297658862874,0.04013377926421405,0.11371237458193979,0.046822742474916385,0.19063545150501673,0.06454849498327779,0.02948494983277592,0.09364548494983277,0.44816053511705684,0.26421404682274247,0.27424749163879597,0.07023411371237458,0.4414715719063545,0.026755852842809364
sea,0.0,0.056856187290970944,0.0,0.07424749163879604,0.05719063545150481,0.0,0.006688963210702341,0.057859531772573386,0.046822742474916385,0.0,0.06688963210702303,0.2608695652173913,0.013377926421404682,0.0,0.07391304347826251,0.006688963210702341,0.0,0.04013377926421438,0.047826086956521394,0.0,0.020066889632107024,0.10702341137123746,0.009642140468227424,0.033444816053511704,0.04515050167224034,0.09364548494983277,0.05351170568561873,0.013377926421404682,0.05351170568561873
icn,0.026755852842809364,0.013377926421404682,0.12040133779264214,0.020066889632107024,0.010033444816053512,0.07357859531772576,0.06688963210702341,0.0,0.033444816053511704,0.05016722408026756,0.013377926421404682,0.006688963210702341,0.006688963210702341,0.020066889632107024,0.026755852842809364,0.0,0.08695652173913043,0.391304347826087,0.10602006688963281,0.4013377926421405,0.026755852842809364,0.06020066889632107,0.020066889632107024,0.01980267558528428,0.04013377926421405,0.013377926421404682,0.013377926421404682,0.05351170568561873,0.033444816053511704
sjc,0.013377926421404682,0.04080267558528419,0.06020066889632107,0.06822742474916428,0.05351170568561916,0.38461538461538464,0.026755852842809364,0.05150501672240861,0.026755852842809364,0.5150501672240803,0.06481605351170559,0.17391304347826086,0.013377926421404682,0.06688963210702341,0.05652173913043214,0.0,0.020066889632107024,0.10167224080267474,0.22073578595317725,0.013377926421404682,0.013377926421404682,0.18394648829431437,0.04481605351170523,0.006688963210702341,0.017735785953177256,0.0802675585284281,0.3076923076923077,0.05351170568561873,0.013377926421404682
sgp,0.020066889632107024,0.06020066889632107,0.17826086956521817,0.020066889632107024,0.40604026845637586,0.07859531772575047,0.09364548494983277,0.05351170568561873,0.15384615384615385,0.34782608695652173,0.20066889632107024,0.040268456375838924,0.046822742474916385,0.46153846153846156,0.28762541806020064,0.2608695652173913,0.11906354515050108,0.3377926421404682,0.5886287625418059,0.006688963210702341,0.046822742474916385,0.22073578595317725,0.12040133779264214,0.10702341137123746,0.046822742474916385,0.0328561872909699,0.3979933110367893,0.06688963210702341,0.10367892976588629
sto,0.10468227424749213,0.006688963210702341,0.4214046822742475,0.033444816053511704,0.026755852842809364,0.10702341137123746,0.04749163879598647,0.0,0.0,0.046822742474916766,0.13377926421404682,0.03979933110367945,0.03478260869565043,0.013377926421404682,0.0903010033444816,0.019397993311037066,0.026755852842809364,0.08929765886287545,0.47491638795986624,0.03979933110367916,0.04013377926421405,0.26421404682274247,0.1806020066889632,0.026755852842809364,0.20735785953177258,0.47157190635451507,0.008100334448160535,0.0802675585284281,0.19765886287625364
syd,0.06040268456375839,0.0,9.425992779783394,0.0,0.0,9.321428571428571,0.12040133779264214,0.006688963210702341,0.0,0.0,0.06688963210702341,0.033444816053511704,0.0,0.05050167224080263,0.013377926421404682,0.0,10.036363636363637,0.0,0.15384615384615385,0.0,0.006688963210702341,0.5919732441471572,0.0,0.026755852842809364,0.16722408026755853,0.06688963210702341,0.046822742474916385,0.008588628762541807,0.026755852842809364
tlv,0.12742474916388075,0.013377926421404682,0.3377926421404682,0.020066889632107024,0.5652173913043478,0.44481605351170567,0.15484949832775827,0.1605351170568562,0.013377926421404682,0.1317725752508372,0.4983277591973244,0.14448160535117108,0.1581939799331092,0.11371237458193979,0.13712374581939799,0.13946488294314485,0.19063545150501673,0.0,0.28762541806020064,0.08729096989966632,0.006688963210702341,0.0,0.0,0.06688963210702341,0.026755852842809364,0.046822742474916385,0.08160535117056848,0.0,0.015357859531772575
